00001ADAMSON             010104000014550324201021500067500040010011593        
00002BAKER               010105000001953425002012755080050025000032094        
00003CARTWELL            010110000012783145905021705097525030032041095        
00004DORSEY              010104500011280565102012800080050029027020293        
00005HAMMOND             010205000008512975004021950090000100040050595        
00006NOLTE               010204500012555832504021350090025022005062793        
00007REDFORD             010204800012257598303022907585075018010110195        
00008JOHNKE              020105500012853200002032200080025010012011593        
00009WHITE               020105900001897443701023500067500005000062094        
00010MARSHALL            020105300012580219602032702580050008035112994        
00011EISEN               020105000013580127704013250090050045040092894        
00012SAGER               020206800019553021902012900080025095040072594        
00013STERN               020206800008856772404023207590000020010100194        
00014SUMMERS             020206750003399552701013750067500025015020195        
00015JONES               030104000001133877209032100099575017009050595        
00016JOHNSON             030110000014588147702032252580075032012080195        
00017NOLAN               030104475005187332302033250080025002007071593        
00018CANTWELL            030206825018137955001022555067525087040062893        
00019SMITH               030207500001120503003011100085050052039021593        
00020HAMMEL              030205910012498674302022800080000005002032093        
